2024-08-29/09ч39м41с

+ + + MHJ00_cls№2: dim=2; Fval=4.00e+00/Func=tsFnRosen; ss_init=1.00e-02; ss_min=1.00e-11; ss_coef=2; minFval=1.00e-11; maxNEv=100000.0; X=[-1, 1]; 
Gs:ss_cur |dFval   |dNEv/dNSc|dPLen   ||Fval    |
g1:1.0e-02|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g2:5.0e-03|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g3:2.5e-03|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g4:1.3e-03|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g5:6.3e-04|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g6:3.1e-04|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g7:1.6e-04|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g8:7.8e-05|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g9:3.9e-05|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g10:2.0e-05|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g11:9.8e-06|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g12:4.9e-06|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g13:2.4e-06|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g14:1.2e-06|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g15:6.1e-07|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g16:3.1e-07|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g17:1.5e-07|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g18:7.6e-08|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g19:3.8e-08|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g20:1.9e-08|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g21:9.5e-09|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g22:4.8e-09|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g23:2.4e-09|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g24:1.2e-09|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g25:6.0e-10|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g26:3.0e-10|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g27:1.5e-10|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g28:7.5e-11|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g29:3.7e-11|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g30:1.9e-11|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
g31:9.3e-12|+0.0e+00|   4/   0|0.00e+00||4.00e+00|
