
ss_cur  | GCSdist |dFval   |dNEv/dNSc/dNbl|dPLen   ||ss_mult
1.0e-02 | 4.69e-04|-3.0e-04|  15/   1/   0|1.00e-02||1111
5.0e-03 | 4.69e-04|-9.7e-03|  16/   1/   0|5.00e-03||1111
2.5e-03 | 4.69e-04|-1.9e-03|  23/   2/   0|5.00e-03||1111
1.3e-03 | 4.69e-04|-2.6e-02| 331/  78/   0|9.75e-02||1111
6.3e-04 | 4.69e-04|-2.2e-01|6921/1916/   0|1.20e+00||1111

ss_cur  | GCSdist |dFval   |dNEv/dNSc/dNbl|dPLen   ||ss_mult
1.0e-02 | 1.60e-01|-3.0e-04|  14/   1/  12|1.00e-02||1111
1.0e-02 | 8.00e-02|+0.0e+00|   0/   0/   8|0.00e+00||1111
1.0e-02 | 4.00e-02|+0.0e+00|   0/   0/   8|0.00e+00||1111
1.0e-02 | 2.00e-02|+0.0e+00|   0/   0/   8|0.00e+00||1111
5.0e-03 | 8.00e-02|-9.7e-03|  14/   1/  14|5.00e-03||1111
5.0e-03 | 4.00e-02|+0.0e+00|   0/   0/   8|0.00e+00||1111
5.0e-03 | 2.00e-02|+0.0e+00|   0/   0/   8|0.00e+00||1111
5.0e-03 | 1.00e-02|+0.0e+00|   0/   0/   8|0.00e+00||1111
2.5e-03 | 4.00e-02|-1.9e-03|  14/   1/  14|2.50e-03||1111
2.5e-03 | 2.00e-02|+0.0e+00|   0/   0/   8|0.00e+00||1111
2.5e-03 | 1.00e-02|+0.0e+00|   0/   0/   8|0.00e+00||1111
2.5e-03 | 5.00e-03|+0.0e+00|   0/   0/   8|0.00e+00||1111
1.3e-03 | 2.00e-02|-1.7e-03|  21/   5/  22|7.50e-03||1111
1.3e-03 | 1.00e-02|+0.0e+00|   0/   0/   8|0.00e+00||1111
1.3e-03 | 5.00e-03|+0.0e+00|   3/   0/   5|0.00e+00||1111
1.3e-03 | 2.50e-03|+0.0e+00|   2/   0/   6|0.00e+00||1111
6.3e-04 | 1.00e-02|-2.0e-03|  32/  11/  60|8.13e-03||1111
6.3e-04 | 5.00e-03|-6.4e-04|  12/   3/  26|1.88e-03||1111
6.3e-04 | 2.50e-03|-8.7e-03| 127/  43/  86|3.44e-02||1111
6.3e-04 | 1.25e-03|-1.1e-01|2091/ 607/ 866|4.50e-01||1111
6.3e-04 | 6.25e-04|-2.2e-04|   5/   1/  19|6.25e-04||1111
6.3e-04 | 3.13e-04|-1.3e-01|6616/1300/1106|8.13e-01||1111
